authority.id,authority,authority.sp
1,army,SEDENA
2,navy,SEMAR
3,other,BOM
4,other,BOMU
5,federal.police,POLICIA FEDERAL
6,state.police,POLICIA ESTATAL
7,other,PEI
8,municipal.police,POLICIA MUNICIPAL
9,other,UMAN
10,other,SSP
11,other,SSPDF
12,other,OPERATIVO CONJUNTO GUERRERO
13,ministerial.police,POLICIA MINISTERIAL
14,other,PGJ
15,other,PGJE
16,other,PGR
17,other,SIEDO-PGR
18,other,CIPOL
19,other,UNITO
20,other,UMIP
21,other,custodio
22,other,varias corporaciones
23,other,fuerzas federales de apoyo
24,other,proteccion civil
25,other,autoridades civiles
26,other,transito
27,other,civil
28,afi,afi
29,other,gobierno
